Id_bien;Cod_depcom;No_voie;Btq;Type_voie;Voie;Code_postal;Com_ad;Surface_Carrez;Type_local;Nb_pieces;Surface_terrain
28819;75108;58;;RUE;DE LONDRES;75008;PARIS 08;48.72;Appartement;2;
28820;75109;44;;RUE;JEAN BAPTISTE PIGALLE;75009;PARIS 09;22.52;Appartement;2;
28821;75110;75;;RUE;DU FBG ST MARTIN;75010;PARIS 10;57.42;Appartement;3;
28822;75110;57;;RUE;BICHAT;75010;PARIS 10;37.28;Appartement;4;
28823;75110;33;;RUE;DE SAMBRE ET MEUSE;75010;PARIS 10;35.16;Appartement;3;
28824;75111;4;;RUE;AUGUSTE BARBIER;75011;PARIS 11;29.42;Appartement;2;
28825;75111;53;;RUE;DE LA ROQUETTE;75011;PARIS 11;13.05;Appartement;1;
28826;75111;84;;AV;PHILIPPE AUGUSTE;75011;PARIS 11;51.02;Appartement;2;
28827;75112;97;;AV;DU GAL MICHEL BIZOT;75012;PARIS 12;86.17;Appartement;5;
28828;75112;40;;RUE;MONTGALLET;75012;PARIS 12;27.8;Appartement;2;
28829;75112;31;;RUE;DE REUILLY;75012;PARIS 12;11.75;Appartement;1;
28830;75115;25;;RUE;DE CRONSTADT;75015;PARIS 15;28.03;Appartement;2;
28831;75115;192;B;RUE;DE VAUGIRARD;75015;PARIS 15;73.25;Appartement;3;
28832;75115;13;;AV;FELIX FAURE;75015;PARIS 15;48.97;Appartement;2;
28833;75116;3;;RUE;NARCISSE DIAZ;75016;PARIS 16;65.35;Appartement;2;
28834;75116;88;T;RUE;MICHEL ANGE;75016;PARIS 16;99.08;Appartement;3;
28835;75116;10;;RUE;DE CIVRY;75016;PARIS 16;92.33;Appartement;4;
28836;75116;5;;SQ;MIGNOT;75016;PARIS 16;86.47;Appartement;2;
28837;75117;11;;RUE;LEON COGNIET;75017;PARIS 17;94.09;Appartement;4;
28838;75117;4;;RUE;BARON;75017;PARIS 17;36.02;Appartement;2;
28839;75118;21;;RUE;DES SAULES;75018;PARIS 18;12.59;Appartement;1;
28840;75118;62;;RUE;DU POTEAU;75018;PARIS 18;46.82;Appartement;2;
28841;75118;1;;IMP;ST FRANCOIS;75018;PARIS 18;18.01;Appartement;1;
28842;75118;74;;RUE;CHAMPIONNET;75018;PARIS 18;48.96;Appartement;3;
28843;75118;41;;BD;ORNANO;75018;PARIS 18;14.06;Appartement;1;
28844;75118;51;;RUE;HERMEL;75018;PARIS 18;77.28;Appartement;4;
28845;75118;58;B;RUE;RAMEY;75018;PARIS 18;84.69;Appartement;4;
28846;75118;2;;RUE;JULES JOUY;75018;PARIS 18;31.6;Appartement;2;
28847;75118;50;;RUE;MARX DORMOY;75018;PARIS 18;18.31;Appartement;1;
28848;75119;232;;RUE;DE CRIMEE;75019;PARIS 19;35.21;Appartement;2;
28849;75119;21;;RUE;EUGENE JUMIN;75019;PARIS 19;40.91;Appartement;3;
28850;75119;85;;RUE;MANIN;75019;PARIS 19;119.14;Appartement;5;
28851;75119;43;;RUE;MANIN;75019;PARIS 19;53.68;Appartement;3;
28852;75120;36;;RUE;SORBIER;75020;PARIS 20;42;Appartement;2;
28853;76351;21;;RUE;LABEDOYERE;76600;LE HAVRE;80.45;Appartement;4;
28854;76351;4;;IMP;LE CAM;76600;LE HAVRE;24.4;Appartement;1;
28855;76540;24;;RUE;DE CAMPULLEY;76000;ROUEN;18.46;Appartement;1;
28856;76540;7;;RUE;HECTOR BERLIOZ;76000;ROUEN;67.28;Appartement;3;
